Number #1;Formatted #1;Number #2;Formatted #2
"1203225617";"12-0322-5617";"1203224617";"12-0322-4617";
"1203225628";"12-0322-5628";"1203224628";"12-0322-4628";
"1203225639";"12-0322-5639";"1203224639";"12-0322-4639";
"1203225650";"12-0322-5650";"1203224650";"12-0322-4650";
"1203225661";"12-0322-5661";"1203224661";"12-0322-4661";
"1203225672";"12-0322-5672";"1203224672";"12-0322-4672";
"1203225683";"12-0322-5683";"1203224683";"12-0322-4683";
"1203225694";"12-0322-5694";"1203224694";"12-0322-4694";
"1203225705";"12-0322-5705";"1203224705";"12-0322-4705";
"1203225716";"12-0322-5716";"1203224716";"12-0322-4716";
"1203225727";"12-0322-5727";"1203224727";"12-0322-4727";
"1203225738";"12-0322-5738";"1203224738";"12-0322-4738";
"1203225749";"12-0322-5749";"1203224749";"12-0322-4749";
"1203225760";"12-0322-5760";"1203224760";"12-0322-4760";
"1203225771";"12-0322-5771";"1203224771";"12-0322-4771";
"1203225782";"12-0322-5782";"1203224782";"12-0322-4782";
"1203225793";"12-0322-5793";"1203224793";"12-0322-4793";
"1203225804";"12-0322-5804";"1203224804";"12-0322-4804";
"1203225815";"12-0322-5815";"1203224815";"12-0322-4815";
"1203225826";"12-0322-5826";"1203224826";"12-0322-4826";
"1203225837";"12-0322-5837";"1203224837";"12-0322-4837";
"1203225848";"12-0322-5848";"1203224848";"12-0322-4848";
"1203225859";"12-0322-5859";"1203224859";"12-0322-4859";
"1203225870";"12-0322-5870";"1203224870";"12-0322-4870";
"1203225881";"12-0322-5881";"1203224881";"12-0322-4881";
"1203225892";"12-0322-5892";"1203224892";"12-0322-4892";
"1203225903";"12-0322-5903";"1203224903";"12-0322-4903";
"1203225914";"12-0322-5914";"1203224914";"12-0322-4914";
"1203225925";"12-0322-5925";"1203224925";"12-0322-4925";
"1203225936";"12-0322-5936";"1203224936";"12-0322-4936";
"1203225947";"12-0322-5947";"1203224947";"12-0322-4947";
"1203225958";"12-0322-5958";"1203224958";"12-0322-4958";
"1203225969";"12-0322-5969";"1203224969";"12-0322-4969";
"1203225980";"12-0322-5980";"1203224980";"12-0322-4980";
"1203225991";"12-0322-5991";"1203224991";"12-0322-4991";
"1203226002";"12-0322-6002";"1203225002";"12-0322-5002";
"1203226013";"12-0322-6013";"1203225013";"12-0322-5013";
"1203226024";"12-0322-6024";"1203225024";"12-0322-5024";
"1203226035";"12-0322-6035";"1203225035";"12-0322-5035";
"1203226046";"12-0322-6046";"1203225046";"12-0322-5046";
"1203226057";"12-0322-6057";"1203225057";"12-0322-5057";
"1203226068";"12-0322-6068";"1203225068";"12-0322-5068";
"1203226079";"12-0322-6079";"1203225079";"12-0322-5079";
"1203226090";"12-0322-6090";"1203225090";"12-0322-5090";
"1203226101";"12-0322-6101";"1203225101";"12-0322-5101";
"1203226112";"12-0322-6112";"1203225112";"12-0322-5112";
"1203226123";"12-0322-6123";"1203225123";"12-0322-5123";
"1203226134";"12-0322-6134";"1203225134";"12-0322-5134";
"1203226145";"12-0322-6145";"1203225145";"12-0322-5145";
"1203226156";"12-0322-6156";"1203225156";"12-0322-5156";
"1203226167";"12-0322-6167";"1203225167";"12-0322-5167";
"1203226178";"12-0322-6178";"1203225178";"12-0322-5178";
"1203226189";"12-0322-6189";"1203225189";"12-0322-5189";
"1203226200";"12-0322-6200";"1203225200";"12-0322-5200";
"1203226211";"12-0322-6211";"1203225211";"12-0322-5211";
"1203226222";"12-0322-6222";"1203225222";"12-0322-5222";
"1203226233";"12-0322-6233";"1203225233";"12-0322-5233";
"1203226244";"12-0322-6244";"1203225244";"12-0322-5244";
"1203226255";"12-0322-6255";"1203225255";"12-0322-5255";
"1203226266";"12-0322-6266";"1203225266";"12-0322-5266";
"1203226277";"12-0322-6277";"1203225277";"12-0322-5277";
"1203226288";"12-0322-6288";"1203225288";"12-0322-5288";
"1203226299";"12-0322-6299";"1203225299";"12-0322-5299";
"1203226310";"12-0322-6310";"1203225310";"12-0322-5310";
"1203226321";"12-0322-6321";"1203225321";"12-0322-5321";
"1203226332";"12-0322-6332";"1203225332";"12-0322-5332";
"1203226343";"12-0322-6343";"1203225343";"12-0322-5343";
"1203226354";"12-0322-6354";"1203225354";"12-0322-5354";
"1203226365";"12-0322-6365";"1203225365";"12-0322-5365";
"1203226376";"12-0322-6376";"1203225376";"12-0322-5376";
"1203226387";"12-0322-6387";"1203225387";"12-0322-5387";
"1203226398";"12-0322-6398";"1203225398";"12-0322-5398";
"1203226409";"12-0322-6409";"1203225409";"12-0322-5409";
"1203226420";"12-0322-6420";"1203225420";"12-0322-5420";
"1203226431";"12-0322-6431";"1203225431";"12-0322-5431";
"1203226442";"12-0322-6442";"1203225442";"12-0322-5442";
"1203226453";"12-0322-6453";"1203225453";"12-0322-5453";
"1203226464";"12-0322-6464";"1203225464";"12-0322-5464";
"1203226475";"12-0322-6475";"1203225475";"12-0322-5475";
"1203226486";"12-0322-6486";"1203225486";"12-0322-5486";
"1203226497";"12-0322-6497";"1203225497";"12-0322-5497";
"1203226508";"12-0322-6508";"1203225508";"12-0322-5508";
"1203226519";"12-0322-6519";"1203225519";"12-0322-5519";
"1203226530";"12-0322-6530";"1203225530";"12-0322-5530";
"1203226541";"12-0322-6541";"1203225541";"12-0322-5541";
"1203226552";"12-0322-6552";"1203225552";"12-0322-5552";
"1203226563";"12-0322-6563";"1203225563";"12-0322-5563";
"1203226574";"12-0322-6574";"1203225574";"12-0322-5574";
"1203226585";"12-0322-6585";"1203225585";"12-0322-5585";
"1203226596";"12-0322-6596";"1203225596";"12-0322-5596";
"1203226607";"12-0322-6607";"1203225607";"12-0322-5607";
"1203226618";"12-0322-6618";"1203225618";"12-0322-5618";
"1203226629";"12-0322-6629";"1203225629";"12-0322-5629";
"1203226640";"12-0322-6640";"1203225640";"12-0322-5640";
"1203226651";"12-0322-6651";"1203225651";"12-0322-5651";
"1203226662";"12-0322-6662";"1203225662";"12-0322-5662";
"1203226673";"12-0322-6673";"1203225673";"12-0322-5673";
"1203226684";"12-0322-6684";"1203225684";"12-0322-5684";
"1203226695";"12-0322-6695";"1203225695";"12-0322-5695";
"1203226706";"12-0322-6706";"1203225706";"12-0322-5706";
"1203226717";"12-0322-6717";"1203225717";"12-0322-5717";
"1203226728";"12-0322-6728";"1203225728";"12-0322-5728";
"1203226739";"12-0322-6739";"1203225739";"12-0322-5739";
"1203226750";"12-0322-6750";"1203225750";"12-0322-5750";
"1203226761";"12-0322-6761";"1203225761";"12-0322-5761";
"1203226772";"12-0322-6772";"1203225772";"12-0322-5772";
"1203226783";"12-0322-6783";"1203225783";"12-0322-5783";
"1203226794";"12-0322-6794";"1203225794";"12-0322-5794";
"1203226805";"12-0322-6805";"1203225805";"12-0322-5805";
"1203226816";"12-0322-6816";"1203225816";"12-0322-5816";
"1203226827";"12-0322-6827";"1203225827";"12-0322-5827";
"1203226838";"12-0322-6838";"1203225838";"12-0322-5838";
"1203226849";"12-0322-6849";"1203225849";"12-0322-5849";
"1203226860";"12-0322-6860";"1203225860";"12-0322-5860";
"1203226871";"12-0322-6871";"1203225871";"12-0322-5871";
"1203226882";"12-0322-6882";"1203225882";"12-0322-5882";
"1203226893";"12-0322-6893";"1203225893";"12-0322-5893";
"1203226904";"12-0322-6904";"1203225904";"12-0322-5904";
"1203226915";"12-0322-6915";"1203225915";"12-0322-5915";
"1203226926";"12-0322-6926";"1203225926";"12-0322-5926";
"1203226937";"12-0322-6937";"1203225937";"12-0322-5937";
"1203226948";"12-0322-6948";"1203225948";"12-0322-5948";
"1203226959";"12-0322-6959";"1203225959";"12-0322-5959";
"1203226970";"12-0322-6970";"1203225970";"12-0322-5970";
"1203226981";"12-0322-6981";"1203225981";"12-0322-5981";
"1203226992";"12-0322-6992";"1203225992";"12-0322-5992";
"1203227003";"12-0322-7003";"1203226003";"12-0322-6003";
"1203227014";"12-0322-7014";"1203226014";"12-0322-6014";
"1203227025";"12-0322-7025";"1203226025";"12-0322-6025";
"1203227036";"12-0322-7036";"1203226036";"12-0322-6036";
"1203227047";"12-0322-7047";"1203226047";"12-0322-6047";
"1203227058";"12-0322-7058";"1203226058";"12-0322-6058";
"1203227069";"12-0322-7069";"1203226069";"12-0322-6069";
"1203227080";"12-0322-7080";"1203226080";"12-0322-6080";
"1203227091";"12-0322-7091";"1203226091";"12-0322-6091";
"1203227102";"12-0322-7102";"1203226102";"12-0322-6102";
"1203227113";"12-0322-7113";"1203226113";"12-0322-6113";
"1203227124";"12-0322-7124";"1203226124";"12-0322-6124";
"1203227135";"12-0322-7135";"1203226135";"12-0322-6135";
"1203227146";"12-0322-7146";"1203226146";"12-0322-6146";
"1203227157";"12-0322-7157";"1203226157";"12-0322-6157";
"1203227168";"12-0322-7168";"1203226168";"12-0322-6168";
"1203227179";"12-0322-7179";"1203226179";"12-0322-6179";
"1203227190";"12-0322-7190";"1203226190";"12-0322-6190";
"1203227201";"12-0322-7201";"1203226201";"12-0322-6201";
"1203227212";"12-0322-7212";"1203226212";"12-0322-6212";
"1203227223";"12-0322-7223";"1203226223";"12-0322-6223";
"1203227234";"12-0322-7234";"1203226234";"12-0322-6234";
"1203227245";"12-0322-7245";"1203226245";"12-0322-6245";
"1203227256";"12-0322-7256";"1203226256";"12-0322-6256";
"1203227267";"12-0322-7267";"1203226267";"12-0322-6267";
"1203227278";"12-0322-7278";"1203226278";"12-0322-6278";
"1203227289";"12-0322-7289";"1203226289";"12-0322-6289";
"1203227300";"12-0322-7300";"1203226300";"12-0322-6300";
"1203227311";"12-0322-7311";"1203226311";"12-0322-6311";
"1203227322";"12-0322-7322";"1203226322";"12-0322-6322";
"1203227333";"12-0322-7333";"1203226333";"12-0322-6333";
"1203227344";"12-0322-7344";"1203226344";"12-0322-6344";
"1203227355";"12-0322-7355";"1203226355";"12-0322-6355";
"1203227366";"12-0322-7366";"1203226366";"12-0322-6366";
"1203227377";"12-0322-7377";"1203226377";"12-0322-6377";
"1203227388";"12-0322-7388";"1203226388";"12-0322-6388";
"1203227399";"12-0322-7399";"1203226399";"12-0322-6399";
"1203227410";"12-0322-7410";"1203226410";"12-0322-6410";
"1203227421";"12-0322-7421";"1203226421";"12-0322-6421";
"1203227432";"12-0322-7432";"1203226432";"12-0322-6432";
"1203227443";"12-0322-7443";"1203226443";"12-0322-6443";
"1203227454";"12-0322-7454";"1203226454";"12-0322-6454";
"1203227465";"12-0322-7465";"1203226465";"12-0322-6465";
"1203227476";"12-0322-7476";"1203226476";"12-0322-6476";
"1203227487";"12-0322-7487";"1203226487";"12-0322-6487";
"1203227498";"12-0322-7498";"1203226498";"12-0322-6498";
"1203227509";"12-0322-7509";"1203226509";"12-0322-6509";
"1203227520";"12-0322-7520";"1203226520";"12-0322-6520";
"1203227531";"12-0322-7531";"1203226531";"12-0322-6531";
"1203227542";"12-0322-7542";"1203226542";"12-0322-6542";
"1203227553";"12-0322-7553";"1203226553";"12-0322-6553";
"1203227564";"12-0322-7564";"1203226564";"12-0322-6564";
"1203227575";"12-0322-7575";"1203226575";"12-0322-6575";
"1203227586";"12-0322-7586";"1203226586";"12-0322-6586";
"1203227597";"12-0322-7597";"1203226597";"12-0322-6597";
"1203227608";"12-0322-7608";"1203226608";"12-0322-6608";
"1203227619";"12-0322-7619";"1203226619";"12-0322-6619";
"1203227630";"12-0322-7630";"1203226630";"12-0322-6630";
"1203227641";"12-0322-7641";"1203226641";"12-0322-6641";
"1203227652";"12-0322-7652";"1203226652";"12-0322-6652";
"1203227663";"12-0322-7663";"1203226663";"12-0322-6663";
"1203227674";"12-0322-7674";"1203226674";"12-0322-6674";
"1203227685";"12-0322-7685";"1203226685";"12-0322-6685";
"1203227696";"12-0322-7696";"1203226696";"12-0322-6696";
"1203227707";"12-0322-7707";"1203226707";"12-0322-6707";
"1203227718";"12-0322-7718";"1203226718";"12-0322-6718";
"1203227729";"12-0322-7729";"1203226729";"12-0322-6729";
"1203227740";"12-0322-7740";"1203226740";"12-0322-6740";
"1203227751";"12-0322-7751";"1203226751";"12-0322-6751";
"1203227762";"12-0322-7762";"1203226762";"12-0322-6762";
"1203227773";"12-0322-7773";"1203226773";"12-0322-6773";
"1203227784";"12-0322-7784";"1203226784";"12-0322-6784";
"1203227795";"12-0322-7795";"1203226795";"12-0322-6795";
"1203227806";"12-0322-7806";"1203226806";"12-0322-6806";
"1203227817";"12-0322-7817";"1203226817";"12-0322-6817";
"1203227828";"12-0322-7828";"1203226828";"12-0322-6828";
"1203227839";"12-0322-7839";"1203226839";"12-0322-6839";
"1203227850";"12-0322-7850";"1203226850";"12-0322-6850";
"1203227861";"12-0322-7861";"1203226861";"12-0322-6861";
"1203227872";"12-0322-7872";"1203226872";"12-0322-6872";
"1203227883";"12-0322-7883";"1203226883";"12-0322-6883";
"1203227894";"12-0322-7894";"1203226894";"12-0322-6894";
"1203227905";"12-0322-7905";"1203226905";"12-0322-6905";
"1203227916";"12-0322-7916";"1203226916";"12-0322-6916";
"1203227927";"12-0322-7927";"1203226927";"12-0322-6927";
"1203227938";"12-0322-7938";"1203226938";"12-0322-6938";
"1203227949";"12-0322-7949";"1203226949";"12-0322-6949";
"1203227960";"12-0322-7960";"1203226960";"12-0322-6960";
"1203227971";"12-0322-7971";"1203226971";"12-0322-6971";
"1203227982";"12-0322-7982";"1203226982";"12-0322-6982";
"1203227993";"12-0322-7993";"1203226993";"12-0322-6993";
"1203228004";"12-0322-8004";"1203227004";"12-0322-7004";
"1203228015";"12-0322-8015";"1203227015";"12-0322-7015";
"1203228026";"12-0322-8026";"1203227026";"12-0322-7026";
"1203228037";"12-0322-8037";"1203227037";"12-0322-7037";
"1203228048";"12-0322-8048";"1203227048";"12-0322-7048";
"1203228059";"12-0322-8059";"1203227059";"12-0322-7059";
"1203228070";"12-0322-8070";"1203227070";"12-0322-7070";
"1203228081";"12-0322-8081";"1203227081";"12-0322-7081";
"1203228092";"12-0322-8092";"1203227092";"12-0322-7092";
"1203228103";"12-0322-8103";"1203227103";"12-0322-7103";
"1203228114";"12-0322-8114";"1203227114";"12-0322-7114";
"1203228125";"12-0322-8125";"1203227125";"12-0322-7125";
"1203228136";"12-0322-8136";"1203227136";"12-0322-7136";
"1203228147";"12-0322-8147";"1203227147";"12-0322-7147";
"1203228158";"12-0322-8158";"1203227158";"12-0322-7158";
"1203228169";"12-0322-8169";"1203227169";"12-0322-7169";
"1203228180";"12-0322-8180";"1203227180";"12-0322-7180";
"1203228191";"12-0322-8191";"1203227191";"12-0322-7191";
"1203228202";"12-0322-8202";"1203227202";"12-0322-7202";
"1203228213";"12-0322-8213";"1203227213";"12-0322-7213";
"1203228224";"12-0322-8224";"1203227224";"12-0322-7224";
"1203228235";"12-0322-8235";"1203227235";"12-0322-7235";
"1203228246";"12-0322-8246";"1203227246";"12-0322-7246";
"1203228257";"12-0322-8257";"1203227257";"12-0322-7257";
"1203228268";"12-0322-8268";"1203227268";"12-0322-7268";
"1203228279";"12-0322-8279";"1203227279";"12-0322-7279";
"1203228290";"12-0322-8290";"1203227290";"12-0322-7290";
"1203228301";"12-0322-8301";"1203227301";"12-0322-7301";
"1203228312";"12-0322-8312";"1203227312";"12-0322-7312";
"1203228323";"12-0322-8323";"1203227323";"12-0322-7323";
"1203228334";"12-0322-8334";"1203227334";"12-0322-7334";
"1203228345";"12-0322-8345";"1203227345";"12-0322-7345";
"1203228356";"12-0322-8356";"1203227356";"12-0322-7356";
"1203228367";"12-0322-8367";"1203227367";"12-0322-7367";
"1203228378";"12-0322-8378";"1203227378";"12-0322-7378";
"1203228389";"12-0322-8389";"1203227389";"12-0322-7389";
"1203228400";"12-0322-8400";"1203227400";"12-0322-7400";
"1203228411";"12-0322-8411";"1203227411";"12-0322-7411";
"1203228422";"12-0322-8422";"1203227422";"12-0322-7422";
"1203228433";"12-0322-8433";"1203227433";"12-0322-7433";
"1203228444";"12-0322-8444";"1203227444";"12-0322-7444";
"1203228455";"12-0322-8455";"1203227455";"12-0322-7455";
"1203228466";"12-0322-8466";"1203227466";"12-0322-7466";
"1203228477";"12-0322-8477";"1203227477";"12-0322-7477";
"1203228488";"12-0322-8488";"1203227488";"12-0322-7488";
"1203228499";"12-0322-8499";"1203227499";"12-0322-7499";
"1203228510";"12-0322-8510";"1203227510";"12-0322-7510";
"1203228521";"12-0322-8521";"1203227521";"12-0322-7521";
"1203228532";"12-0322-8532";"1203227532";"12-0322-7532";
"1203228543";"12-0322-8543";"1203227543";"12-0322-7543";
"1203228554";"12-0322-8554";"1203227554";"12-0322-7554";
"1203228565";"12-0322-8565";"1203227565";"12-0322-7565";
"1203228576";"12-0322-8576";"1203227576";"12-0322-7576";
"1203228587";"12-0322-8587";"1203227587";"12-0322-7587";
"1203228598";"12-0322-8598";"1203227598";"12-0322-7598";
"1203228609";"12-0322-8609";"1203227609";"12-0322-7609";
"1203228620";"12-0322-8620";"1203227620";"12-0322-7620";
"1203228631";"12-0322-8631";"1203227631";"12-0322-7631";
"1203228642";"12-0322-8642";"1203227642";"12-0322-7642";
"1203228653";"12-0322-8653";"1203227653";"12-0322-7653";
"1203228664";"12-0322-8664";"1203227664";"12-0322-7664";
"1203228675";"12-0322-8675";"1203227675";"12-0322-7675";
"1203228686";"12-0322-8686";"1203227686";"12-0322-7686";
"1203228697";"12-0322-8697";"1203227697";"12-0322-7697";
"1203228708";"12-0322-8708";"1203227708";"12-0322-7708";
"1203228719";"12-0322-8719";"1203227719";"12-0322-7719";
"1203228730";"12-0322-8730";"1203227730";"12-0322-7730";
"1203228741";"12-0322-8741";"1203227741";"12-0322-7741";
"1203228752";"12-0322-8752";"1203227752";"12-0322-7752";
"1203228763";"12-0322-8763";"1203227763";"12-0322-7763";
"1203228774";"12-0322-8774";"1203227774";"12-0322-7774";
"1203228785";"12-0322-8785";"1203227785";"12-0322-7785";
"1203228796";"12-0322-8796";"1203227796";"12-0322-7796";
"1203228807";"12-0322-8807";"1203227807";"12-0322-7807";
"1203228818";"12-0322-8818";"1203227818";"12-0322-7818";
"1203228829";"12-0322-8829";"1203227829";"12-0322-7829";
"1203228840";"12-0322-8840";"1203227840";"12-0322-7840";
"1203228851";"12-0322-8851";"1203227851";"12-0322-7851";
"1203228862";"12-0322-8862";"1203227862";"12-0322-7862";
"1203228873";"12-0322-8873";"1203227873";"12-0322-7873";
"1203228884";"12-0322-8884";"1203227884";"12-0322-7884";
"1203228895";"12-0322-8895";"1203227895";"12-0322-7895";
"1203228906";"12-0322-8906";"1203227906";"12-0322-7906";
"1203228917";"12-0322-8917";"1203227917";"12-0322-7917";
"1203228928";"12-0322-8928";"1203227928";"12-0322-7928";
"1203228939";"12-0322-8939";"1203227939";"12-0322-7939";
"1203228950";"12-0322-8950";"1203227950";"12-0322-7950";
"1203228961";"12-0322-8961";"1203227961";"12-0322-7961";
"1203228972";"12-0322-8972";"1203227972";"12-0322-7972";
"1203228983";"12-0322-8983";"1203227983";"12-0322-7983";
"1203228994";"12-0322-8994";"1203227994";"12-0322-7994";
